date_m,year,INDPRO_PC1,PCEPI,PCEPI_PCA,inflation,unemp,lagged_unemp,market_exp,target_change,lag_DFEDTAR,DFEDTAR,d_meeting,scale,d_crisis,TRY_3M,TRY_2Y,TRY_10Y,FF_TAR,date_y,d_menu_dec,d_menu_unc,d_menu_inc,d_menu_m075,d_menu_m050,d_menu_m025,d_menu_0,d_menu_025,d_menu_050,d_menu_075,ord_policy,d_nineeleven,date,d_month_1,d_month_2,d_month_3,d_month_4,d_month_5,d_month_6,d_month_7,d_month_8,d_month_9,d_month_10,d_month_11,d_month_12,d_month_1_fomc,d_month_2_fomc,d_month_3_fomc,d_month_4_fomc,d_month_5_fomc,d_month_6_fomc,d_month_7_fomc,d_month_8_fomc,d_month_9_fomc,d_month_10_fomc,d_month_11_fomc,d_month_12_fomc,target_change_last,target_change_last_fomc,d_menu_adj_m050,d_menu_adj_m025,d_menu_adj_0,d_menu_adj_025,d_menu_adj_050,d_menu_adj_dec,d_menu_adj_inc,d_menu_adj_unc,d_sample1,d_sample2,target_change_adj,d_y2k,l1_inflation,l2_inflation,diff_unemp,l1_diff_unemp,l2_diff_unemp,ld_inflation,l1_ld_inflation,l2_ld_inflation,l1_target_change,l2_target_change,l3_target_change,l4_target_change,l5_target_change,Fl1_target_change,d_policy_m050,d_policy_m025,d_policy_0,d_policy_025,d_policy_050,d_policy_inc,d_policy_unc,d_policy_dec,INDPRO_PC1_g_1,INDPRO_PC1_g_2,INDPRO_PC1_g_3,INDPRO_PC1_g_4,INDPRO_PC1_g_5,INDPRO_PC1_g_6,INDPRO_PC1_g_7,INDPRO_PC1_g_8,INDPRO_PC1_g_9,INDPRO_PC1_g_10,INDPRO_PC1_g_11,INDPRO_PC1_g_12,INDPRO_PC1_g_13,INDPRO_PC1_g_14,INDPRO_PC1_g_15,INDPRO_PC1_g_16,INDPRO_PC1_g_17,INDPRO_PC1_g_18,INDPRO_PC1_g_19,INDPRO_PC1_g_20,INDPRO_PC1_g_21,INDPRO_PC1_g_22,INDPRO_PC1_g_23,INDPRO_PC1_g_24,PCEPI_g_1,PCEPI_g_2,PCEPI_g_3,PCEPI_g_4,PCEPI_g_5,PCEPI_g_6,PCEPI_g_7,PCEPI_g_8,PCEPI_g_9,PCEPI_g_10,PCEPI_g_11,PCEPI_g_12,PCEPI_g_13,PCEPI_g_14,PCEPI_g_15,PCEPI_g_16,PCEPI_g_17,PCEPI_g_18,PCEPI_g_19,PCEPI_g_20,PCEPI_g_21,PCEPI_g_22,PCEPI_g_23,PCEPI_g_24,unemp_g_1,unemp_g_2,unemp_g_3,unemp_g_4,unemp_g_5,unemp_g_6,unemp_g_7,unemp_g_8,unemp_g_9,unemp_g_10,unemp_g_11,unemp_g_12,unemp_g_13,unemp_g_14,unemp_g_15,unemp_g_16,unemp_g_17,unemp_g_18,unemp_g_19,unemp_g_20,unemp_g_21,unemp_g_22,unemp_g_23,unemp_g_24,TRY_3M_g_1,TRY_3M_g_2,TRY_3M_g_3,TRY_3M_g_4,TRY_3M_g_5,TRY_3M_g_6,TRY_3M_g_7,TRY_3M_g_8,TRY_3M_g_9,TRY_3M_g_10,TRY_3M_g_11,TRY_3M_g_12,TRY_3M_g_13,TRY_3M_g_14,TRY_3M_g_15,TRY_3M_g_16,TRY_3M_g_17,TRY_3M_g_18,TRY_3M_g_19,TRY_3M_g_20,TRY_3M_g_21,TRY_3M_g_22,TRY_3M_g_23,TRY_3M_g_24,TRY_2Y_g_1,TRY_2Y_g_2,TRY_2Y_g_3,TRY_2Y_g_4,TRY_2Y_g_5,TRY_2Y_g_6,TRY_2Y_g_7,TRY_2Y_g_8,TRY_2Y_g_9,TRY_2Y_g_10,TRY_2Y_g_11,TRY_2Y_g_12,TRY_2Y_g_13,TRY_2Y_g_14,TRY_2Y_g_15,TRY_2Y_g_16,TRY_2Y_g_17,TRY_2Y_g_18,TRY_2Y_g_19,TRY_2Y_g_20,TRY_2Y_g_21,TRY_2Y_g_22,TRY_2Y_g_23,TRY_2Y_g_24,TRY_10Y_g_1,TRY_10Y_g_2,TRY_10Y_g_3,TRY_10Y_g_4,TRY_10Y_g_5,TRY_10Y_g_6,TRY_10Y_g_7,TRY_10Y_g_8,TRY_10Y_g_9,TRY_10Y_g_10,TRY_10Y_g_11,TRY_10Y_g_12,TRY_10Y_g_13,TRY_10Y_g_14,TRY_10Y_g_15,TRY_10Y_g_16,TRY_10Y_g_17,TRY_10Y_g_18,TRY_10Y_g_19,TRY_10Y_g_20,TRY_10Y_g_21,TRY_10Y_g_22,TRY_10Y_g_23,TRY_10Y_g_24,FF_TAR_g_1,FF_TAR_g_2,FF_TAR_g_3,FF_TAR_g_4,FF_TAR_g_5,FF_TAR_g_6,FF_TAR_g_7,FF_TAR_g_8,FF_TAR_g_9,FF_TAR_g_10,FF_TAR_g_11,FF_TAR_g_12,FF_TAR_g_13,FF_TAR_g_14,FF_TAR_g_15,FF_TAR_g_16,FF_TAR_g_17,FF_TAR_g_18,FF_TAR_g_19,FF_TAR_g_20,FF_TAR_g_21,FF_TAR_g_22,FF_TAR_g_23,FF_TAR_g_24,d_sub_1,d_sub_2,d_sub_3,d_sub_4,d_sub_01,d_sub_00,d_sub_m1,yearly_inflation_change,l1_diff_unemp_yearly,l1_diff_unemp_quarterly,ld_inflation_yearly,ld_inflation_quarterly,l1_ld_inflation_yearly,l1_ld_inflation_quarterly,etu_outcome,d_greenspan
1/1/20,1920,15.46964,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,1/1/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.65888451,35.32097846,-13.99389499,1.461761122,-45.27672373,-270.8156221,#NAME?,,,,,,,,,,,,,,,,,-56.59816623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
2/1/20,1920,20.81072,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,2/1/20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5.662093952,-43.6527795,-28.19712339,-74.93560824,-300.4745066,#NAME?,,,,,,,,,,,,,,,,,-86.25705074,-27.16024507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
3/1/20,1920,22.02304,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,3/1/20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-49.31487345,-33.85921734,-80.5977022,-306.1366005,#NAME?,,,,,,,,,,,,,,,,,-91.91914469,-32.82233903,14.77952133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
4/1/20,1920,13.44948,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,4/1/20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15.45565611,-31.28282875,-256.8217271,#NAME?,,,,,,,,,,,,,,,,,-42.60427124,16.49253442,64.09439478,45.86824736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
5/1/20,1920,15.69743,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,5/1/20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-46.73848486,-272.2773832,#NAME?,,,,,,,,,,,,,,,,,-58.05992735,1.036878314,48.63873867,30.41259125,43.022697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
6/1/20,1920,9.83662,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,6/1/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-225.5388983,#NAME?,,,,,,,,,,,,,,,,,-11.32144249,47.77536317,95.37722353,77.1510761,89.76118185,115.5837138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
7/1/20,1920,1.0312,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,7/1/20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,#NAME?,,,,,,,,,,,,,,,,,214.2174559,273.3142615,320.9161219,302.6899745,315.3000802,341.1226121,344.0182158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
8/1/20,1920,0,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,8/1/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,inf,inf,inf,inf,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
9/1/20,1920,-1.55481,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,9/1/20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
10/1/20,1920,-4.7114,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,10/1/20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
11/1/20,1920,-11.16937,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,11/1/20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
12/1/20,1920,-17.80009,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,12/1/20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
1/1/21,1921,-29.18726,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,1/1/21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
2/1/21,1921,-30.62131,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,2/1/21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
3/1/21,1921,-31.21895,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,3/1/21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
4/1/21,1921,-27.31926,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,4/1/21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
5/1/21,1921,-27.13531,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,5/1/21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
6/1/21,1921,-28.35816,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,6/1/21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
7/1/21,1921,-27.04042,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,7/1/21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
8/1/21,1921,-24.87398,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,8/1/21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
9/1/21,1921,-21.57899,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,9/1/21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
10/1/21,1921,-13.18625,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,10/1/21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
11/1/21,1921,-6.58637,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,11/1/21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
12/1/21,1921,-1.27421,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,12/1/21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
1/1/22,1922,8.7837,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,1/1/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59.09680566,106.698666,88.4725186,101.0826243,126.9051563,129.80076,104.6051291,125.6998536,124.0828831,145.9902521,157.8484815,135.8207695,124.0108978,114.798724,138.4905884,122.8292984,95.17412576,90.41006552,92.54782208,41.73511841,-25.65414558,-132.8657397,,-155.6442628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
2/1/22,1922,15.86104,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,21,0,2/1/22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,0,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47.60186036,29.37571293,41.98581868,67.80835059,70.70395429,45.50832344,66.60304795,64.98607748,86.8934464,98.7516758,76.72396384,64.91409218,55.70191831,79.39378277,63.73249271,36.0773201,31.31325986,33.45101641,-17.36168725,-84.75095125,-191.9625454,,-214.7410685,-193.8064474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE
